id,name,country,latitude,longitude,FT10,FT16
8584,328ME059,USA,42.093,-86.359,89,74.75
9045,RMXF413.15,USA,42.039,-86.5154,88.75,78
9057,Vinsl�_v,SWE,56.1,13.9167,87.5,67.5
9058,V�_stervik,SWE,57.75,16.6333,113.25,123
9061,Dog-5,TUR,38.3011,42.2239,97.25,102.6666667
9063,Dog-7,TUR,38.3011,42.2239,97.75,98.75
9064,Dog-8,TUR,38.3011,42.2239,94.75,107.6666667
9066,Xan-2,AZE,38.6536,48.7992,95.25,101
9067,Xan-3,AZE,38.6536,48.7992,101.75,130
9069,Xan-5,AZE,38.6536,48.7992,82.75,90.75
9070,Xan-6,AZE,38.6536,48.7992,80,88.5
9073,Lerik1-2,AZE,38.7406,48.6131,93.25,101.5
9075,Lerik1-4,AZE,38.7406,48.6131,93.25,98.25
9078,Lerik1-7,AZE,38.7406,48.6131,100.25,104.25
9079,Lerik2-1,AZE,38.7833,48.5517,101,102
9081,Lerik2-3,AZE,38.7833,48.5517,91.25,99.66666667
9082,Lerik2-4,AZE,38.7833,48.5517,91.25,100.3333333
9084,Lerik2-6,AZE,38.7833,48.5517,103.75,114.25
9085,Lerik2-7,AZE,38.7833,48.5517,103,101
9089,Nar-3,AZE,38.9522,48.925,88.66666667,125.5
9090,Nar-4,AZE,38.9522,48.925,89.5,122
9091,Nar-5,AZE,38.9522,48.925,99.75,97.5
9094,Istisu-4,AZE,38.9786,48.5594,93.5,91
9095,Istisu-5,AZE,38.9786,48.5594,104,113.3333333
9096,Istisu-6,AZE,38.9786,48.5594,105,121.3333333
9098,Istisu-8,AZE,38.9786,48.5594,99.75,99.5
9099,Istisu-9,AZE,38.9786,48.5594,100.25,112.6666667
9100,Lag1-2,GEO,41.8296,46.2831,77.5,74
9102,Lag1-4,GEO,41.8296,46.2831,83.75,80.75
9103,Lag1-5,GEO,41.8296,46.2831,83.25,82.75
9104,Lag1-6,GEO,41.8296,46.2831,60.75,60
9105,Lag1-7,GEO,41.8296,46.2831,77.25,78.75
9106,Lag1-8,GEO,41.8296,46.2831,87.25,87.5
9111,Lag2-4,GEO,41.8296,46.2831,100.5,89.25
9113,Lag2-6,GEO,41.8296,46.2831,76,70.25
9114,Lag2-7,GEO,41.8296,46.2831,99.75,100.5
9115,Lag2-10,GEO,41.8296,46.2831,91.25,71.75
9119,Bak-3,GEO,41.7942,43.4767,97.5,110
9120,Bak-4,GEO,41.7942,43.4767,105.5,125
9121,Bak-5,GEO,41.7942,43.4767,105.25,102
9124,Bak-9,GEO,41.7942,43.4767,104.5,118.25
9125,Geg-14,ARM,40.1408,44.8203,74,69.25
9128,Yeg-2,ARM,39.8692,45.3622,69.5,61
9130,Yeg-4,ARM,39.8692,45.3622,72.75,63.25
9131,Yeg-5,ARM,39.8692,45.3622,72.5,63.5
9133,Yeg-7,ARM,39.8692,45.3622,73.25,68
9134,Yeg-8,ARM,39.8692,45.3622,79.75,64.5
9298,Edi-1,UK,55.9681,-3.21833,60,45.5
9312,Ullapool-8,UK,57.9,-5.1525,75.25,57.5
9314,Gol-2,UK,57.9672,-3.96722,74.25,60
9321,�dal 1,SWE,62.8622,18.336,106.75,140
9323,�dal 3,SWE,62.8622,18.336,97,80.75
9330,Bag 1,SWE,56.9591,16.4052,90.5,NA
9332,Bar 1,SWE,62.8698,18.381,114.25,129
