experiment,tray,row,column,genotype,bag_received
crosses,14,6,1,6024a,
crosses,15,1,10,6024a,
crosses,15,3,10,6024a,
crosses,15,6,5,6024a,
crosses,10,2,9,6024b,1
crosses,10,3,6,6024b,
crosses,10,6,11,6024b,1
crosses,11,1,4,6024b,
crosses,11,4,7,6024b,1
crosses,11,5,4,6024b,1
crosses,12,1,9,6024b,1
crosses,12,3,9,6024b,1
crosses,12,5,8,6024b,
crosses,13,2,9,6024b,
crosses,13,3,5,6024b,
crosses,13,6,4,6024b,
crosses,14,1,3,6024b,
crosses,14,4,8,6024b,
crosses,14,6,9,6024b,
crosses,15,2,6,6024b,
crosses,15,4,1,6024b,
crosses,15,5,9,6024b,
crosses,10,2,10,6092 x 1158,
crosses,10,3,7,6092 x 1158,
crosses,10,5,6,6092 x 1158,
crosses,11,1,6,6092 x 1158,
crosses,11,4,8,6092 x 1158,
crosses,11,6,10,6092 x 1158,
crosses,12,2,8,6092 x 1158,
crosses,12,3,4,6092 x 1158,
crosses,12,5,9,6092 x 1158,
crosses,13,1,9,6092 x 1158,
crosses,13,3,9,6092 x 1158,
crosses,13,6,9,6092 x 1158,
crosses,14,1,6,6092 x 1158,
crosses,14,3,11,6092 x 1158,
crosses,14,6,7,6092 x 1158,
crosses,15,2,2,6092 x 1158,
crosses,15,3,9,6092 x 1158,
crosses,15,6,6,6092 x 1158,
crosses,10,2,8,6092 x 6024,
crosses,10,4,1,6092 x 6024,
crosses,10,5,11,6092 x 6024,
crosses,11,1,3,6092 x 6024,
crosses,11,4,1,6092 x 6024,
crosses,11,6,1,6092 x 6024,
crosses,12,2,7,6092 x 6024,
crosses,12,4,5,6092 x 6024,
crosses,12,5,7,6092 x 6024,
crosses,13,1,2,6092 x 6024,
crosses,13,4,10,6092 x 6024,
crosses,13,5,5,6092 x 6024,
crosses,14,1,7,6092 x 6024,
crosses,14,4,3,6092 x 6024,
crosses,14,6,11,6092 x 6024,
crosses,15,1,3,6092 x 6024,
crosses,15,3,1,6092 x 6024,
crosses,15,6,9,6092 x 6024,
crosses,10,2,6,6092a,
crosses,10,4,8,6092a,1
crosses,10,5,8,6092a,1
crosses,11,2,2,6092a,
crosses,11,3,3,6092a,1
crosses,11,5,2,6092a,
crosses,12,2,10,6092a,1
crosses,12,3,2,6092a,1
crosses,12,6,8,6092a,1
crosses,13,2,5,6092a,
crosses,13,4,8,6092a,
crosses,13,6,8,6092a,
crosses,14,1,9,6092a,
crosses,14,3,4,6092a,
crosses,14,6,8,6092a,
crosses,15,1,8,6092a,1
crosses,15,3,7,6092a,
crosses,15,5,6,6092a,
crosses,10,2,7,6092b,1
crosses,10,3,3,6092b,1
crosses,10,5,2,6092b,1
crosses,11,1,1,6092b,
crosses,11,4,11,6092b,1
crosses,11,5,7,6092b,1
crosses,12,2,1,6092b,
crosses,12,4,8,6092b,
crosses,12,5,6,6092b,
crosses,13,1,10,6092b,
crosses,13,4,5,6092b,
crosses,13,5,11,6092b,
crosses,14,1,10,6092b,
crosses,14,4,10,6092b,
