experiment,tray,long_edge,short_edge,mother,genotype,type
pure_lines,24,9,3,Lovvik-2,Lovvik-2,pure_lines
pure_lines,24,9,4,,6017,pure_lines
pure_lines,24,9,5,2017_stock,6244,pure_lines
pure_lines,24,9,6,2017_stock,6017,pure_lines
pure_lines,24,10,1,,6125,pure_lines
pure_lines,24,10,2,,6017,pure_lines
pure_lines,24,10,3,,6017,pure_lines
pure_lines,24,10,4,Lovvik-3,Lovvik-3,pure_lines
pure_lines,24,10,5,Lovvik-3,Lovvik-3,pure_lines
pure_lines,24,10,6,2017_stock,6237,pure_lines
pure_lines,24,11,1,2017_stock,6237,pure_lines
pure_lines,24,11,2,2017_stock,6092,pure_lines
pure_lines,24,11,3,2017_stock,1158,pure_lines
pure_lines,24,11,4,2017_stock,6046,pure_lines
pure_lines,24,11,5,Hossjo-2,Hossjo-2,pure_lines
pure_lines,24,11,6,,6125,pure_lines
pure_lines,25,1,1,,8231,pure_lines
pure_lines,25,1,2,Lovvik-1,Lovvik-1,pure_lines
pure_lines,25,1,3,2017_stock,6046,pure_lines
pure_lines,25,1,4,,6184,pure_lines
pure_lines,25,1,5,,1158,pure_lines
pure_lines,25,1,6,,6092,pure_lines
pure_lines,25,2,1,Hossjo-2,Hossjo-2,pure_lines
pure_lines,25,2,2,Eden-Road-3,Eden-Road-3,pure_lines
pure_lines,25,2,3,,1158,pure_lines
pure_lines,25,2,4,Eden-Road-2,Eden-Road-2,pure_lines
pure_lines,25,2,5,2017_stock,6017,pure_lines
pure_lines,25,2,6,,6237,pure_lines
pure_lines,25,3,1,Eden-Road-2,Eden-Road-2,pure_lines
pure_lines,25,3,2,2017_stock,6237,pure_lines
pure_lines,25,3,3,2017_stock,1158,pure_lines
pure_lines,25,3,4,2017_stock,6237,pure_lines
pure_lines,25,3,5,2017_stock,1158,pure_lines
pure_lines,25,3,6,,6092,pure_lines
pure_lines,25,4,1,,6244,pure_lines
pure_lines,25,4,2,,8231,pure_lines
pure_lines,25,4,3,,6237,pure_lines
pure_lines,25,4,4,,6244,pure_lines
pure_lines,25,4,5,2017_stock,6017,pure_lines
pure_lines,25,4,6,2017_stock,6244,pure_lines
pure_lines,25,5,1,2017_stock,6092,pure_lines
pure_lines,25,5,2,2017_stock,6244,pure_lines
pure_lines,25,5,3,2017_stock,8231,pure_lines
pure_lines,25,5,4,,6017,pure_lines
pure_lines,25,5,5,2017_stock,6125,pure_lines
pure_lines,25,5,6,Hossjo-2,Hossjo-2,pure_lines
pure_lines,25,6,1,Eden-Road-2,Eden-Road-2,pure_lines
pure_lines,25,6,2,NA,NA,pure_lines
pure_lines,25,6,3,2017_stock,6024,pure_lines
pure_lines,25,6,4,Hossjo-2,Hossjo-2,pure_lines
pure_lines,25,6,5,2017_stock,6024,pure_lines
pure_lines,25,6,6,2017_stock,6244,pure_lines
pure_lines,25,7,1,2017_stock,6017,pure_lines
pure_lines,25,7,2,,6184,pure_lines
pure_lines,25,7,3,,6017,pure_lines
pure_lines,25,7,4,Lovvik-3,Lovvik-3,pure_lines
pure_lines,25,7,5,Lovvik-2,Lovvik-2,pure_lines
pure_lines,25,7,6,,6184,pure_lines
pure_lines,25,8,1,Hossjo-1,Hossjo-1,pure_lines
pure_lines,25,8,2,2017_stock,6046,pure_lines
pure_lines,25,8,3,2017_stock,6125,pure_lines
pure_lines,25,8,4,2017_stock,6237,pure_lines
pure_lines,25,8,5,2017_stock,6125,pure_lines
pure_lines,25,8,6,2017_stock,6092,pure_lines
pure_lines,25,9,1,,6125,pure_lines
pure_lines,25,9,2,2017_stock,6244,pure_lines
pure_lines,25,9,3,,6244,pure_lines
pure_lines,25,9,4,,6125,pure_lines
pure_lines,25,9,5,2017_stock,6024,pure_lines
pure_lines,25,9,6,2017_stock,6024,pure_lines
pure_lines,25,10,1,2017_stock,6237,pure_lines
pure_lines,25,10,2,2017_stock,6244,pure_lines
pure_lines,25,10,3,,6024,pure_lines
pure_lines,25,10,4,2017_stock,6244,pure_lines
pure_lines,25,10,5,,6184,pure_lines
pure_lines,25,10,6,2017_stock,6024,pure_lines
pure_lines,25,11,1,,6024,pure_lines
pure_lines,25,11,2,Eden-Road-3,Eden-Road-3,pure_lines
pure_lines,25,11,3,Eden-Road-1,Eden-Road-1,pure_lines
pure_lines,25,11,4,,6024,pure_lines
pure_lines,25,11,5,2017_stock,6092,pure_lines
pure_lines,25,11,6,,6024,pure_lines
pure_lines,26,1,1,Eden-Road-3,Eden-Road-3,pure_lines
pure_lines,26,1,2,,6125,pure_lines
pure_lines,26,1,3,2017_stock,6237,pure_lines
pure_lines,26,1,4,2017_stock,6092,pure_lines
pure_lines,26,1,5,,1158,pure_lines
pure_lines,26,1,6,Hossjo-1,Hossjo-1,pure_lines
pure_lines,26,2,1,,6046,pure_lines
pure_lines,26,2,2,2017_stock,6024,pure_lines
pure_lines,26,2,3,2017_stock,6017,pure_lines
pure_lines,26,2,4,,6244,pure_lines
pure_lines,26,2,5,NA,NA,pure_lines
pure_lines,26,2,6,,6024,pure_lines
pure_lines,26,3,1,,6092,pure_lines
pure_lines,26,3,2,2017_stock,6184,pure_lines
pure_lines,26,3,3,2017_stock,6046,pure_lines
pure_lines,26,3,4,Eden-Road-1,Eden-Road-1,pure_lines
pure_lines,26,3,5,Hossjo-3,Hossjo-3,pure_lines
pure_lines,26,3,6,2017_stock,6184,pure_lines
pure_lines,26,4,1,2017_stock,1158,pure_lines
pure_lines,26,4,2,2017_stock,6024,pure_lines
pure_lines,26,4,3,2017_stock,6237,pure_lines
pure_lines,26,4,4,,8231,pure_lines
pure_lines,26,4,5,2017_stock,6092,pure_lines
pure_lines,26,4,6,Lovvik-1,Lovvik-1,pure_lines
pure_lines,26,5,1,2017_stock,6184,pure_lines
pure_lines,26,5,2,2017_stock,6092,pure_lines
pure_lines,26,5,3,2017_stock,6237,pure_lines
pure_lines,26,5,4,Hossjo-2,Hossjo-2,pure_lines
pure_lines,26,5,5,,6024,pure_lines
pure_lines,26,5,6,Eden-Road-2,Eden-Road-2,pure_lines
pure_lines,26,6,1,2017_stock,8231,pure_lines
pure_lines,26,6,2,Hossjo-3,Hossjo-3,pure_lines
pure_lines,26,6,3,2017_stock,6244,pure_lines
pure_lines,26,6,4,2017_stock,6017,pure_lines
pure_lines,26,6,5,2017_stock,6184,pure_lines
pure_lines,26,6,6,2017_stock,8231,pure_lines
pure_lines,26,7,1,NA,NA,pure_lines
pure_lines,26,7,2,,6237,pure_lines
pure_lines,26,7,3,2017_stock,6244,pure_lines
pure_lines,26,7,4,,6237,pure_lines
pure_lines,26,7,5,NA,NA,pure_lines
pure_lines,26,7,6,Hossjo-1,Hossjo-1,pure_lines
pure_lines,26,8,1,,6237,pure_lines
pure_lines,26,8,2,2017_stock,6125,pure_lines
pure_lines,26,8,3,2017_stock,6046,pure_lines
pure_lines,26,8,4,2017_stock,6024,pure_lines
pure_lines,26,8,5,,1158,pure_lines
pure_lines,26,8,6,Eden-Road-3,Eden-Road-3,pure_lines
pure_lines,26,9,1,2017_stock,1158,pure_lines
pure_lines,26,9,2,2017_stock,6184,pure_lines
pure_lines,26,9,3,,6017,pure_lines
pure_lines,26,9,4,Lovvik-2,Lovvik-2,pure_lines
pure_lines,26,9,5,,6046,pure_lines
pure_lines,26,9,6,,6184,pure_lines
pure_lines,26,10,1,Lovvik-1,Lovvik-1,pure_lines
pure_lines,26,10,2,Eden-Road-1,Eden-Road-1,pure_lines
pure_lines,26,10,3,,6092,pure_lines
pure_lines,26,10,4,,6092,pure_lines
pure_lines,26,10,5,,1158,pure_lines
pure_lines,26,10,6,Lovvik-2,Lovvik-2,pure_lines
pure_lines,26,11,1,2017_stock,6237,pure_lines
pure_lines,26,11,2,2017_stock,6237,pure_lines
pure_lines,26,11,3,Eden-Road-3,Eden-Road-3,pure_lines
pure_lines,26,11,4,Eden-Road-3,Eden-Road-3,pure_lines
pure_lines,26,11,5,,6237,pure_lines
pure_lines,26,11,6,,6184,pure_lines
