id,mother,father,genotype,generation,site,Sown
P1.6.48,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.49,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.50,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.51,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.52,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.53,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.6.54,2017_stock,2017_stock,6125,S1,Saltea,August_2019
P1.7.01,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.02,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.03,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.04,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.05,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.06,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.07,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.08,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.09,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.10,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.11,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.12,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.13,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.14,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.15,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.16,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.17,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.18,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.19,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.20,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.21,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.22,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.23,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.24,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.25,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.26,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.27,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.28,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.29,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.30,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.31,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.32,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.33,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.34,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.35,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.36,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.37,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.38,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.39,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.40,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.41,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.42,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.43,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.44,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.45,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.46,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.47,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.48,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.49,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.50,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.51,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.52,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.53,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.7.54,2017_stock,2017_stock,6184,S1,Saltea,August_2019
P1.8.01,2017_stock,2017_stock,6237,S1,Saltea,August_2019
P1.8.02,2017_stock,2017_stock,6237,S1,Saltea,August_2019
P1.8.03,2017_stock,2017_stock,6237,S1,Saltea,August_2019
P1.8.04,2017_stock,2017_stock,6237,S1,Saltea,August_2019
P1.8.05,2017_stock,2017_stock,6237,S1,Saltea,August_2019
P1.8.06,2017_stock,2017_stock,6237,S1,Saltea,August_2019
P1.8.07,2017_stock,2017_stock,6237,S1,Saltea,August_2019
P1.8.08,2017_stock,2017_stock,6237,S1,Saltea,August_2019
P1.8.09,2017_stock,2017_stock,6237,S1,Saltea,August_2019
P1.8.10,2017_stock,2017_stock,6237,S1,Saltea,August_2019
P1.8.11,2017_stock,2017_stock,6237,S1,Saltea,August_2019
